5439	7	13349	DGM	2
5440	7	13350	DGM	2
5460	7	2846	DPD	2
5516	7	1942	TSB	1
5517	7	2950	EXO	1
6163	7	11149	ROE	15
6166	7	6932	CHK	1
6167	7	6933	CHK	1
6169	7	6535	MRD	1
6170	7	9321	CMD	2
6502	7	2069	WWK	4
6503	7	2069	10E	3
20147	1	42	TMP	1
20148	1	48	M11	1
20149	1	48	M10	1
20150	1	49	5ED	1
20151	1	60	M10	1
20152	1	63	M11	4
20153	1	63	CMD	1
20154	1	63	M13	1
20155	1	67	M11	4
20156	1	67	LGN	1
20157	1	67	DDG	1
20158	1	157	M10	2
20159	1	162	M13	1
20160	1	162	DDI	1
20161	1	163	4ED	1
20162	1	165	7ED	3
20163	1	165	4ED	1
20164	1	177	M13	4
20165	1	181	TSB	1
20166	1	185	TSB	1
20167	1	192	5ED	1
20168	1	197	M11	1
20169	1	197	M13	3
20170	1	197	M10	1
20171	1	197	CON	4
20172	1	3	M11	2
20173	1	7	MMQ	4
20174	1	13	DDC	1
20175	1	16	NPH	5
20176	1	133	10E	1
20177	1	139	USG	1
20178	1	142	M11	1
20179	1	150	M11	1
20180	1	251	3ED	1
20181	1	252	DDG	2
20182	1	252	CMD	1
20183	1	252	ARC	2
20184	1	252	M10	4
20185	1	257	CMD	1
20186	1	257	M10	4
20187	1	259	M13	1
20188	1	260	M11	2
20189	1	260	PD2	1
20190	1	260	ARC	1
20191	1	260	M10	1
20192	1	264	M11	2
20193	1	272	M11	1
20194	1	272	PD2	4
20195	1	272	M10	4
20196	1	274	6ED	1
20197	1	274	M10	1
20198	1	274	4ED	1
20199	1	277	4ED	2
20200	1	284	SOM	4
20201	1	285	M10	1
20202	1	287	DDI	1
20203	1	288	6ED	1
20204	1	288	9ED	2
20205	1	288	CHK	1
20206	1	22	M13	3
20207	1	22	M10	2
20208	1	22	10E	2
20209	1	205	M11	1
20210	1	207	3ED	1
20211	1	212	ARC	1
20212	1	212	M13	1
20213	1	212	M10	4
20214	1	216	M11	1
20215	1	216	RTR	2
20216	1	216	DDD	1
20217	1	216	M10	1
20218	1	216	10E	2
20219	1	217	M11	2
20220	1	229	M10	4
20221	1	230	CHK	1
20222	1	119	HOP	9
20223	1	119	AVR	5
20224	1	119	SHM	34
20225	1	119	ZEN	20
20226	1	119	SOM	14
20227	1	119	RAV	31
20228	1	119	DDD	21
20229	1	119	ARC	15
